Player,Time,ExtraTime,AdditionalTime,Sequence,Round,Team,Date,Field,League
Benzema,47,0,N,1,1,Real Madrid,2021-08-14,A,La Liga
Nacho,56,0,N,2,1,Real Madrid,2021-08-14,A,La Liga
Benzema,62,0,N,3,1,Real Madrid,2021-08-14,A,La Liga
Joselu,64,0,N,4,1,Alavés,2021-08-14,H,La Liga
Vinícius Junior,90,1,Y,5,1,Real Madrid,2021-08-14,A,La Liga
Bale,5,0,N,1,2,Real Madrid,2021-08-22,A,La Liga
Marti Roger,46,0,N,2,2,Levante,2021-08-22,H,La Liga
Campana,56,0,N,3,2,Levante,2021-08-22,H,La Liga
Vinícius Junior,72,0,N,4,2,Real Madrid,2021-08-22,A,La Liga
Rober Pier,78,0,N,5,2,Levante,2021-08-22,H,La Liga
Vinícius Junior,85,0,N,6,2,Real Madrid,2021-08-22,A,La Liga
Carvajal,61,0,N,1,3,Real Madrid,2021-08-28,A,La Liga
